
j; msec; task-clock; 
0, 1841.91,msec,task-clock:u,1841910484,100.00,0.256,CPUs utilized
0,,context-switches:u,1841910484,100.00,0.000,/sec
0,,cpu-migrations:u,1841910484,100.00,0.000,/sec
16906,,page-faults:u,1841910484,100.00,9.179,K/sec
<not supported>,,cycles:u,0,100.00,,
<not supported>,,instructions:u,0,100.00,,
<not supported>,,branches:u,0,100.00,,
<not supported>,,branch-misses:u,0,100.00,,
0, 1925.05,msec,task-clock:u,1925053646,100.00,0.270,CPUs utilized
0,,context-switches:u,1925053646,100.00,0.000,/sec
0,,cpu-migrations:u,1925053646,100.00,0.000,/sec
19567,,page-faults:u,1925053646,100.00,10.164,K/sec
<not supported>,,cycles:u,0,100.00,,
<not supported>,,instructions:u,0,100.00,,
<not supported>,,branches:u,0,100.00,,
<not supported>,,branch-misses:u,0,100.00,,
0, 1916.33,msec,task-clock:u,1916325360,100.00,0.230,CPUs utilized
0,,context-switches:u,1916325360,100.00,0.000,/sec
0,,cpu-migrations:u,1916325360,100.00,0.000,/sec
26234,,page-faults:u,1916325360,100.00,13.690,K/sec
<not supported>,,cycles:u,0,100.00,,
<not supported>,,instructions:u,0,100.00,,
<not supported>,,branches:u,0,100.00,,
<not supported>,,branch-misses:u,0,100.00,,
0, 1854.67,msec,task-clock:u,1854671463,100.00,0.236,CPUs utilized
0,,context-switches:u,1854671463,100.00,0.000,/sec
0,,cpu-migrations:u,1854671463,100.00,0.000,/sec
16931,,page-faults:u,1854671463,100.00,9.129,K/sec
<not supported>,,cycles:u,0,100.00,,
<not supported>,,instructions:u,0,100.00,,
<not supported>,,branches:u,0,100.00,,
<not supported>,,branch-misses:u,0,100.00,,
0, 1934.47,msec,task-clock:u,1934467527,100.00,0.267,CPUs utilized
0,,context-switches:u,1934467527,100.00,0.000,/sec
0,,cpu-migrations:u,1934467527,100.00,0.000,/sec
25176,,page-faults:u,1934467527,100.00,13.014,K/sec
<not supported>,,cycles:u,0,100.00,,
<not supported>,,instructions:u,0,100.00,,
<not supported>,,branches:u,0,100.00,,
<not supported>,,branch-misses:u,0,100.00,,
0, 1956.10,msec,task-clock:u,1956101964,100.00,0.252,CPUs utilized
0,,context-switches:u,1956101964,100.00,0.000,/sec
0,,cpu-migrations:u,1956101964,100.00,0.000,/sec
16888,,page-faults:u,1956101964,100.00,8.633,K/sec
<not supported>,,cycles:u,0,100.00,,
<not supported>,,instructions:u,0,100.00,,
<not supported>,,branches:u,0,100.00,,
<not supported>,,branch-misses:u,0,100.00,,
